Xiaogang Wang,58
Ming-Hsuan Yang,52
Luc Van Gool,48
Qi Tian,46
Wei Liu,45
Chunhua Shen,44
Jiashi Feng,40
Bernt Schiele,40
Ling Shao,38
Wanli Ouyang,36
Marc Pollefeys,36
Alan L. Yuille,34
Yi Yang,34
Junjie Yan,33
Jan Kautz,33
Liang Lin,33
Lei Zhang,32
Li Fei-Fei,30
Wangmeng Zuo,30
Anton van den Hengel,30
Raquel Urtasun,30
Dacheng Tao,30
Chen Change Loy,28
Huchuan Lu,27
Pascal Fua,27
Larry S. Davis,27
Kristen Grauman,27
Tao Mei,27
Dahua Lin,27
Ali Farhadi,26
Zhe Lin,26
Xiaodan Liang,26
Trevor Darrell,26
Jiwen Lu,26
Leonidas J. Guibas,26
Ian Reid,25
Hongsheng Li,25
Jiaya Jia,25
Xiaoming Liu,25
Michael J. Black,25
Sanja Fidler,25
Andreas Geiger,24
Jie Zhou,24
Antonio Torralba,23
Tao Xiang,23
In So Kweon,23
Stefanos Zafeiriou,23
Jiebo Luo,23
Xilin Chen,22
Ross Girshick,22
Silvio Savarese,22
Abhinav Gupta,22
Rongrong Ji,22
Peng Wang,22
Shiguang Shan,22
Ming-Ming Cheng,21
Song-Chun Zhu,21
Mathieu Salzmann,21
Jian Sun,20
Nicu Sebe,20
Christian Theobalt,20
Ting Yao,20
Manmohan Chandraker,20
Hao Su,20
Boxin Shi,20
Jianbing Shen,20
Fahad Shahbaz Khan,19
Yu Qiao,19
Matthias Niessner,19
Nuno Vasconcelos,19
Timothy M. Hospedales,19
Serge Belongie,19
Jitendra Malik,19
Hongdong Li,19
Jianping Shi,19
Bernard Ghanem,19
Junsong Yuan,19
Vladlen Koltun,19
Xiaohui Shen,18
Andrew Zisserman,18
Shuicheng Yan,18
Alexander G. Schwing,18
Qi Wu,18
Philip H.S. Torr,18
Devi Parikh,18
Bingbing Ni,18
Wei-Shi Zheng,17
Yu-Wing Tai,17
Zheng-Jun Zha,17
Daniel Cremers,17
Gang Wang,17
Andrea Vedaldi,17
Kaiming He,17
Hanwang Zhang,17
William T. Freeman,16
Noah Snavely,16
Xiaoou Tang,16
Stefano Soatto,16
Cheng Deng,16
Xiang Bai,16
Torsten Sattler,16
Li Liu,16
Marcus Rohrbach,16
Wenguan Wang,16
Qixiang Ye,16
Gang Hua,16
Yaser Sheikh,16
Cewu Lu,16
Guosheng Lin,15
Jian Yang,15
Bohyung Han,15
Dhruv Batra,15
Mubarak Shah,15
Lu Yuan,15
Yuchao Dai,15
Ping Luo,15
Tatsuya Harada,15
Yang Liu,15
Fatih Porikli,15
Mario Fritz,15
Boqing Gong,15
Thomas S. Huang,15
Scott Cohen,14
Stefan Roth,14
Elisa Ricci,14
Qiang Ji,14
Yunchao Wei,14
Cordelia Schmid,14
Shenghua Gao,14
Bolei Zhou,14
Carsten Rother,14
Alexei A. Efros,14
Jinshan Pan,14
Lingxi Xie,14
Lin Ma,14
Xiaowei Zhou,14
Yu Liu,14
Liang Zheng,14
Jianfei Cai,13
Ying Nian Wu,13
