,title,authors
0,GFPose: Learning 3D Human Pose Prior With Gradient Fields,"Hai Ci, Mingdong Wu, Wentao Zhu, Xiaoxuan Ma, Hao Dong, Fangwei Zhong, Yizhou Wang"
1,CXTrack: Improving 3D Point Cloud Tracking With Contextual Information,"Tian-Xing Xu, Yuan-Chen Guo, Yu-Kun Lai, Song-Hai Zhang"
2,NoisyTwins: Class-Consistent and Diverse Image Generation Through StyleGANs,"Harsh Rangwani, Lavish Bansal, Kartik Sharma, Tejan Karmali, Varun Jampani, R. Venkatesh Babu"
3,DisCoScene: Spatially Disentangled Generative Radiance Fields for Controllable 3D-Aware Scene Synthesis,"Yinghao Xu, Menglei Chai, Zifan Shi, Sida Peng, Ivan Skorokhodov, Aliaksandr Siarohin, Ceyuan Yang, Yujun Shen, Hsin-Ying Lee, Bolei Zhou, Sergey Tulyakov"
4,Minimizing the Accumulated Trajectory Error To Improve Dataset Distillation,"Jiawei Du, Yidi Jiang, Vincent Y. F. Tan, Joey Tianyi Zhou, Haizhou Li"
5,Implicit Occupancy Flow Fields for Perception and Prediction in Self-Driving,"Ben Agro, Quinlan Sykora, Sergio Casas, Raquel Urtasun"
6,CCuantuMM: Cycle-Consistent Quantum-Hybrid Matching of Multiple Shapes,"Harshil Bhatia, Edith Tretschk, Zorah Lähner, Marcel Seelbach Benkner, Michael Moeller, Christian Theobalt, Vladislav Golyanik"
7,TrojViT: Trojan Insertion in Vision Transformers,"Mengxin Zheng, Qian Lou, Lei Jiang"
8,Robust Outlier Rejection for 3D Registration With Variational Bayes,"Haobo Jiang, Zheng Dang, Zhen Wei, Jin Xie, Jian Yang, Mathieu Salzmann"
9,Power Bundle Adjustment for Large-Scale 3D Reconstruction,"Simon Weber, Nikolaus Demmel, Tin Chon Chan, Daniel Cremers"
10,Picture That Sketch: Photorealistic Image Generation From Abstract Sketches,"Subhadeep Koley, Ayan Kumar Bhunia, Aneeshan Sain, Pinaki Nath Chowdhury, Tao Xiang, Yi-Zhe Song"
11,3D-Aware Object Goal Navigation via Simultaneous Exploration and Identification,"Jiazhao Zhang, Liu Dai, Fanpeng Meng, Qingnan Fan, Xuelin Chen, Kai Xu, He Wang"
12,"Shape, Pose, and Appearance From a Single Image via Bootstrapped Radiance Field Inversion","Dario Pavllo, David Joseph Tan, Marie-Julie Rakotosaona, Federico Tombari"
13,Unlearnable Clusters: Towards Label-Agnostic Unlearnable Examples,"Jiaming Zhang, Xingjun Ma, Qi Yi, Jitao Sang, Yu-Gang Jiang, Yaowei Wang, Changsheng Xu"
14,NoPe-NeRF: Optimising Neural Radiance Field With No Pose Prior,"Wenjing Bian, Zirui Wang, Kejie Li, Jia-Wang Bian, Victor Adrian Prisacariu"
15,SIEDOB: Semantic Image Editing by Disentangling Object and Background,"Wuyang Luo, Su Yang, Xinjian Zhang, Weishan Zhang"
16,Robust 3D Shape Classification via Non-Local Graph Attention Network,"Shengwei Qin, Zhong Li, Ligang Liu"
17,Exploring Structured Semantic Prior for Multi Label Recognition With Incomplete Labels,"Zixuan Ding, Ao Wang, Hui Chen, Qiang Zhang, Pengzhang Liu, Yongjun Bao, Weipeng Yan, Jungong Han"
18,Delving Into Shape-Aware Zero-Shot Semantic Segmentation,"Xinyu Liu, Beiwen Tian, Zhen Wang, Rui Wang, Kehua Sheng, Bo Zhang, Hao Zhao, Guyue Zhou"
19,Post-Training Quantization on Diffusion Models,"Yuzhang Shang, Zhihang Yuan, Bin Xie, Bingzhe Wu, Yan Yan"
20,Leveraging Inter-Rater Agreement for Classification in the Presence of Noisy Labels,"Maria Sofia Bucarelli, Lucas Cassano, Federico Siciliano, Amin Mantrach, Fabrizio Silvestri"
21,Analyzing Physical Impacts Using Transient Surface Wave Imaging,"Tianyuan Zhang, Mark Sheinin, Dorian Chan, Mark Rau, Matthew O’Toole, Srinivasa G. Narasimhan"
22,ScanDMM: A Deep Markov Model of Scanpath Prediction for 360deg Images,"Xiangjie Sui, Yuming Fang, Hanwei Zhu, Shiqi Wang, Zhou Wang"
23,Continual Semantic Segmentation With Automatic Memory Sample Selection,"Lanyun Zhu, Tianrun Chen, Jianxiong Yin, Simon See, Jun Liu"
24,Meta-Tuning Loss Functions and Data Augmentation for Few-Shot Object Detection,"Berkan Demirel, Orhun Buğra Baran, Ramazan Gokberk Cinbis"
25,CLIP2Scene: Towards Label-Efficient 3D Scene Understanding by CLIP,"Runnan Chen, Youquan Liu, Lingdong Kong, Xinge Zhu, Yuexin Ma, Yikang Li, Yuenan Hou, Yu Qiao, Wenping Wang"
26,LOGO: A Long-Form Video Dataset for Group Action Quality Assessment,"Shiyi Zhang, Wenxun Dai, Sujia Wang, Xiangwei Shen, Jiwen Lu, Jie Zhou, Yansong Tang"
27,UniSim: A Neural Closed-Loop Sensor Simulator,"Ze Yang, Yun Chen, Jingkang Wang, Sivabalan Manivasagam, Wei-Chiu Ma, Anqi Joyce Yang, Raquel Urtasun"
28,Prefix Conditioning Unifies Language and Label Supervision,"Kuniaki Saito, Kihyuk Sohn, Xiang Zhang, Chun-Liang Li, Chen-Yu Lee, Kate Saenko, Tomas Pfister"
29,Towards Scalable Neural Representation for Diverse Videos,"Bo He, Xitong Yang, Hanyu Wang, Zuxuan Wu, Hao Chen, Shuaiyi Huang, Yixuan Ren, Ser-Nam Lim, Abhinav Shrivastava"
30,Towards Robust Tampered Text Detection in Document Image: New Dataset and New Solution,"Chenfan Qu, Chongyu Liu, Yuliang Liu, Xinhong Chen, Dezhi Peng, Fengjun Guo, Lianwen Jin"
31,DeSTSeg: Segmentation Guided Denoising Student-Teacher for Anomaly Detection,"Xuan Zhang, Shiyu Li, Xi Li, Ping Huang, Jiulong Shan, Ting Chen"
32,Neural Rate Estimator and Unsupervised Learning for Efficient Distributed Image Analytics in Split-DNN Models,"Nilesh Ahuja, Parual Datta, Bhavya Kanzariya, V. Srinivasa Somayazulu, Omesh Tickoo"
33,Object Pop-Up: Can We Infer 3D Objects and Their Poses From Human Interactions Alone?,"Ilya A. Petrov, Riccardo Marin, Julian Chibane, Gerard Pons-Moll"
34,VoP: Text-Video Co-Operative Prompt Tuning for Cross-Modal Retrieval,"Siteng Huang, Biao Gong, Yulin Pan, Jianwen Jiang, Yiliang Lv, Yuyuan Li, Donglin Wang"
35,Exploiting Unlabelled Photos for Stronger Fine-Grained SBIR,"Aneeshan Sain, Ayan Kumar Bhunia, Subhadeep Koley, Pinaki Nath Chowdhury, Soumitri Chattopadhyay, Tao Xiang, Yi-Zhe Song"
36,PIP-Net: Patch-Based Intuitive Prototypes for Interpretable Image Classification,"Meike Nauta, Jörg Schlötterer, Maurice van Keulen, Christin Seifert"
37,CloSET: Modeling Clothed Humans on Continuous Surface With Explicit Template Decomposition,"Hongwen Zhang, Siyou Lin, Ruizhi Shao, Yuxiang Zhang, Zerong Zheng, Han Huang, Yandong Guo, Yebin Liu"
38,BUOL: A Bottom-Up Framework With Occupancy-Aware Lifting for Panoptic 3D Scene Reconstruction From a Single Image,"Tao Chu, Pan Zhang, Qiong Liu, Jiaqi Wang"
39,Seeing What You Miss: Vision-Language Pre-Training With Semantic Completion Learning,"Yatai Ji, Rongcheng Tu, Jie Jiang, Weijie Kong, Chengfei Cai, Wenzhe Zhao, Hongfa Wang, Yujiu Yang, Wei Liu"
40,Differentiable Shadow Mapping for Efficient Inverse Graphics,"Markus Worchel, Marc Alexa"
41,Understanding and Constructing Latent Modality Structures in Multi-Modal Representation Learning,"Qian Jiang, Changyou Chen, Han Zhao, Liqun Chen, Qing Ping, Son Dinh Tran, Yi Xu, Belinda Zeng, Trishul Chilimbi"
42,Instant Volumetric Head Avatars,"Wojciech Zielonka, Timo Bolkart, Justus Thies"
43,Cross-Domain Image Captioning With Discriminative Finetuning,"Roberto Dessì, Michele Bevilacqua, Eleonora Gualdoni, Nathanaël Carraz Rakotonirina, Francesca Franzon, Marco Baroni"
44,DBARF: Deep Bundle-Adjusting Generalizable Neural Radiance Fields,"Yu Chen, Gim Hee Lee"
45,Connecting the Dots: Floorplan Reconstruction Using Two-Level Queries,"Yuanwen Yue, Theodora Kontogianni, Konrad Schindler, Francis Engelmann"
46,Analyzing and Diagnosing Pose Estimation With Attributions,"Qiyuan He, Linlin Yang, Kerui Gu, Qiuxia Lin, Angela Yao"
47,Make-a-Story: Visual Memory Conditioned Consistent Story Generation,"Tanzila Rahman, Hsin-Ying Lee, Jian Ren, Sergey Tulyakov, Shweta Mahajan, Leonid Sigal"
48,TinyMIM: An Empirical Study of Distilling MIM Pre-Trained Models,"Sucheng Ren, Fangyun Wei, Zheng Zhang, Han Hu"
49,OneFormer: One Transformer To Rule Universal Image Segmentation,"Jitesh Jain, Jiachen Li, Mang Tik Chiu, Ali Hassani, Nikita Orlov, Humphrey Shi"
50,Finding Geometric Models by Clustering in the Consensus Space,"Daniel Barath, Denys Rozumnyi, Ivan Eichhardt, Levente Hajder, Jiri Matas"
51,Leapfrog Diffusion Model for Stochastic Trajectory Prediction,"Weibo Mao, Chenxin Xu, Qi Zhu, Siheng Chen, Yanfeng Wang"
52,GeoLayoutLM: Geometric Pre-Training for Visual Information Extraction,"Chuwei Luo, Changxu Cheng, Qi Zheng, Cong Yao"
53,SFD2: Semantic-Guided Feature Detection and Description,"Fei Xue, Ignas Budvytis, Roberto Cipolla"
54,"CLIP for All Things Zero-Shot Sketch-Based Image Retrieval, Fine-Grained or Not","Aneeshan Sain, Ayan Kumar Bhunia, Pinaki Nath Chowdhury, Subhadeep Koley, Tao Xiang, Yi-Zhe Song"
55,RIAV-MVS: Recurrent-Indexing an Asymmetric Volume for Multi-View Stereo,"Changjiang Cai, Pan Ji, Qingan Yan, Yi Xu"
56,3D Video Loops From Asynchronous Input,"Li Ma, Xiaoyu Li, Jing Liao, Pedro V. Sander"
57,Style Projected Clustering for Domain Generalized Semantic Segmentation,"Wei Huang, Chang Chen, Yong Li, Jiacheng Li, Cheng Li, Fenglong Song, Youliang Yan, Zhiwei Xiong"
58,DIP: Dual Incongruity Perceiving Network for Sarcasm Detection,"Changsong Wen, Guoli Jia, Jufeng Yang"
59,Learning To Generate Language-Supervised and Open-Vocabulary Scene Graph Using Pre-Trained Visual-Semantic Space,"Yong Zhang, Yingwei Pan, Ting Yao, Rui Huang, Tao Mei, Chang-Wen Chen"
60,VectorFloorSeg: Two-Stream Graph Attention Network for Vectorized Roughcast Floorplan Segmentation,"Bingchen Yang, Haiyong Jiang, Hao Pan, Jun Xiao"
61,Extracting Motion and Appearance via Inter-Frame Attention for Efficient Video Frame Interpolation,"Guozhen Zhang, Yuhan Zhu, Haonan Wang, Youxin Chen, Gangshan Wu, Limin Wang"
62,Minimizing Maximum Model Discrepancy for Transferable Black-Box Targeted Attacks,"Anqi Zhao, Tong Chu, Yahao Liu, Wen Li, Jingjing Li, Lixin Duan"
63,Efficient Loss Function by Minimizing the Detrimental Effect of Floating-Point Errors on Gradient-Based Attacks,"Yunrui Yu, Cheng-Zhong Xu"
64,BAD-NeRF: Bundle Adjusted Deblur Neural Radiance Fields,"Peng Wang, Lingzhe Zhao, Ruijie Ma, Peidong Liu"
65,QPGesture: Quantization-Based and Phase-Guided Motion Matching for Natural Speech-Driven Gesture Generation,"Sicheng Yang, Zhiyong Wu, Minglei Li, Zhensong Zhang, Lei Hao, Weihong Bao, Haolin Zhuang"
66,Multiscale Tensor Decomposition and Rendering Equation Encoding for View Synthesis,"Kang Han, Wei Xiang"
67,NS3D: Neuro-Symbolic Grounding of 3D Objects and Relations,"Joy Hsu, Jiayuan Mao, Jiajun Wu"
68,GANmouflage: 3D Object Nondetection With Texture Fields,"Rui Guo, Jasmine Collins, Oscar de Lima, Andrew Owens"
69,Revisiting Residual Networks for Adversarial Robustness,"Shihua Huang, Zhichao Lu, Kalyanmoy Deb, Vishnu Naresh Boddeti"
70,PosterLayout: A New Benchmark and Approach for Content-Aware Visual-Textual Presentation Layout,"Hsiao Yuan Hsu, Xiangteng He, Yuxin Peng, Hao Kong, Qing Zhang"
71,A General Regret Bound of Preconditioned Gradient Method for DNN Training,"Hongwei Yong, Ying Sun, Lei Zhang"
72,Optimal Proposal Learning for Deployable End-to-End Pedestrian Detection,"Xiaolin Song, Binghui Chen, Pengyu Li, Jun-Yan He, Biao Wang, Yifeng Geng, Xuansong Xie, Honggang Zhang"
73,Temporal Interpolation Is All You Need for Dynamic Neural Radiance Fields,"Sungheon Park, Minjung Son, Seokhwan Jang, Young Chun Ahn, Ji-Yeon Kim, Nahyup Kang"
74,Graph Transformer GANs for Graph-Constrained House Generation,"Hao Tang, Zhenyu Zhang, Humphrey Shi, Bo Li, Ling Shao, Nicu Sebe, Radu Timofte, Luc Van Gool"
75,On the Benefits of 3D Pose and Tracking for Human Action Recognition,"Jathushan Rajasegaran, Georgios Pavlakos, Angjoo Kanazawa, Christoph Feichtenhofer, Jitendra Malik"
76,How to Backdoor Diffusion Models?,"Sheng-Yen Chou, Pin-Yu Chen, Tsung-Yi Ho"
77,PACO: Parts and Attributes of Common Objects,"Vignesh Ramanathan, Anmol Kalia, Vladan Petrovic, Yi Wen, Baixue Zheng, Baishan Guo, Rui Wang, Aaron Marquez, Rama Kovvuri, Abhishek Kadian, Amir Mousavi, Yiwen Song, Abhimanyu Dubey, Dhruv Mahajan"
78,Continuous Sign Language Recognition With Correlation Network,"Lianyu Hu, Liqing Gao, Zekang Liu, Wei Feng"
79,A Simple Framework for Text-Supervised Semantic Segmentation,"Muyang Yi, Quan Cui, Hao Wu, Cheng Yang, Osamu Yoshie, Hongtao Lu"
80,PlenVDB: Memory Efficient VDB-Based Radiance Fields for Fast Training and Rendering,"Han Yan, Celong Liu, Chao Ma, Xing Mei"
81,An Actor-Centric Causality Graph for Asynchronous Temporal Inference in Group Activity,"Zhao Xie, Tian Gao, Kewei Wu, Jiao Chang"
82,Color Backdoor: A Robust Poisoning Attack in Color Space,"Wenbo Jiang, Hongwei Li, Guowen Xu, Tianwei Zhang"
