,title,authors
0,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,"Hongyang Li,  David Eigen,  Samuel Dodge,  Matthew Zeiler,  Xiaogang Wang"
1,Edge-Labeling Graph Neural Network for Few-Shot Learning,"Jongmin Kim,  Taesup Kim,  Sungwoong Kim,  Chang D. Yoo"
2,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,"Spyros Gidaris,  Nikos Komodakis"
3,Kervolutional Neural Networks,"Chen Wang,  Jianfei Yang,  Lihua Xie,  Junsong Yuan"
4,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,"Matthias Hein,  Maksym Andriushchenko,  Julian Bitterwolf"
5,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,"Yusuke Tsuzuku,  Issei Sato"
6,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,"Siyuan Qiao,  Zhe Lin,  Jianming Zhang,  Alan L. Yuille"
7,Hardness-Aware Deep Metric Learning,"Wenzhao Zheng,  Zhaodong Chen,  Jiwen Lu,  Jie Zhou"
8,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,"Chenxi Liu,  Liang-Chieh Chen,  Florian Schroff,  Hartwig Adam,  Wei Hua,  Alan L. Yuille,  Li Fei-Fei"
9,Learning Loss for Active Learning,"Donggeun Yoo,  In So Kweon"
10,Striking the Right Balance With Uncertainty,"Salman Khan,  Munawar Hayat,  Syed Waqas Zamir,  Jianbing Shen,  Ling Shao"
11,AutoAugment: Learning Augmentation Strategies From Data,"Ekin D. Cubuk,  Barret Zoph,  Dandelion Mane,  Vijay Vasudevan,  Quoc V. Le"
12,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences,"Huu M. Le,  Thanh-Toan Do,  Tuan Hoang,  Ngai-Man Cheung"
13,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,"Thomas Schops,  Torsten Sattler,  Marc Pollefeys"
14,Revealing Scenes by Inverting Structure From Motion Reconstructions,"Francesco Pittaluga,  Sanjeev J. Koppal,  Sing Bing Kang,  Sudipta N. Sinha"
15,Strand-Accurate Multi-View Hair Capture,"Giljoo Nam,  Chenglei Wu,  Min H. Kim,  Yaser Sheikh"
16,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,"Jeong Joon Park,  Peter Florence,  Julian Straub,  Richard Newcombe,  Steven Lovegrove"
17,Pushing the Boundaries of View Extrapolation With Multiplane Images,"Pratul P. Srinivasan,  Richard Tucker,  Jonathan T. Barron,  Ravi Ramamoorthi,  Ren Ng,  Noah Snavely"
18,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching,"Feihu Zhang,  Victor Prisacariu,  Ruigang Yang,  Philip H.S. Torr"
19,Real-Time Self-Adaptive Deep Stereo,"Alessio Tonioni,  Fabio Tosi,  Matteo Poggi,  Stefano Mattoccia,  Luigi Di Stefano"
20,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,"Sunok Kim,  Seungryong Kim,  Dongbo Min,  Kwanghoon Sohn"
21,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,"Chen Zhao,  Zhiguo Cao,  Chi Li,  Xin Li,  Jiaqi Yang"
22,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,"Matthew Trager,  Martial Hebert,  Jean Ponce"
23,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image,"Xiaoguang Han,  Zhaoxuan Zhang,  Dong Du,  Mingdai Yang,  Jingming Yu,  Pan Pan,  Xin Yang,  Ligang Liu,  Zixiang Xiong,  Shuguang Cui"
24,Video Action Transformer Network,"Rohit Girdhar,  Joao Carreira,  Carl Doersch,  Andrew Zisserman"
25,Timeception for Complex Action Recognition,"Noureldien Hussein,  Efstratios Gavves,  Arnold W.M. Smeulders"
26,STEP: Spatio-Temporal Progressive Learning for Video Action Detection,"Xitong Yang,  Xiaodong Yang,  Ming-Yu Liu,  Fanyi Xiao,  Larry S. Davis,  Jan Kautz"
27,Relational Action Forecasting,"Chen Sun,  Abhinav Shrivastava,  Carl Vondrick,  Rahul Sukthankar,  Kevin Murphy,  Cordelia Schmid"
28,Long-Term Feature Banks for Detailed Video Understanding,"Chao-Yuan Wu,  Christoph Feichtenhofer,  Haoqi Fan,  Kaiming He,  Philipp Krahenbuhl,  Ross Girshick"
29,Which Way Are You Going? Imitative Decision Learning for Path Forecasting in Dynamic Scenes,Yuke Li
30,What and How Well You Performed? A Multitask Learning Approach to Action Quality Assessment,"Paritosh Parmar,  Brendan Tran Morris"
31,MHP-VOS: Multiple Hypotheses Propagation for Video Object Segmentation,"Shuangjie Xu,  Daizong Liu,  Linchao Bao,  Wei Liu,  Pan Zhou"
32,2.5D Visual Sound,"Ruohan Gao,  Kristen Grauman"
33,Language-Driven Temporal Activity Localization: A Semantic Matching Reinforcement Learning Model,"Weining Wang,  Yan Huang,  Liang Wang"
34,Gaussian Temporal Awareness Networks for Action Localization,"Fuchen Long,  Ting Yao,  Zhaofan Qiu,  Xinmei Tian,  Jiebo Luo,  Tao Mei"
35,Efficient Video Classification Using Fewer Frames,"Shweta Bhardwaj,  Mukundhan Srinivasan,  Mitesh M. Khapra"
36,Parsing R-CNN for Instance-Level Human Analysis,"Lu Yang,  Qing Song,  Zhihui Wang,  Ming Jiang"
37,Large Scale Incremental Learning,"Yue Wu,  Yinpeng Chen,  Lijuan Wang,  Yuancheng Ye,  Zicheng Liu,  Yandong Guo,  Yun Fu"
38,TopNet: Structural Point Cloud Decoder,"Lyne P. Tchapmi,  Vineet Kosaraju,  Hamid Rezatofighi,  Ian Reid,  Silvio Savarese"
39,Perceive Where to Focus: Learning Visibility-Aware Part-Level Features for Partial Person Re-Identification,"Yifan Sun,  Qin Xu,  Yali Li,  Chi Zhang,  Yikang Li,  Shengjin Wang,  Jian Sun"
40,Meta-Transfer Learning for Few-Shot Learning,"Qianru Sun,  Yaoyao Liu,  Tat-Seng Chua,  Bernt Schiele"
41,Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation,"Bohan Zhuang,  Chunhua Shen,  Mingkui Tan,  Lingqiao Liu,  Ian Reid"
42,Deep RNN Framework for Visual Sequential Applications,"Bo Pang,  Kaiwen Zha,  Hanwen Cao,  Chen Shi,  Cewu Lu"
43,Graph-Based Global Reasoning Networks,"Yunpeng Chen,  Marcus Rohrbach,  Zhicheng Yan,  Yan Shuicheng,  Jiashi Feng,  Yannis Kalantidis"
44,SSN: Learning Sparse Switchable Normalization via SparsestMax,"Wenqi Shao,  Tianjian Meng,  Jingyu Li,  Ruimao Zhang,  Yudian Li,  Xiaogang Wang,  Ping Luo"
45,Spherical Fractal Convolutional Neural Networks for Point Cloud Recognition,"Yongming Rao,  Jiwen Lu,  Jie Zhou"
46,Learning to Generate Synthetic Data via Compositing,"Shashank Tripathi,  Siddhartha Chandra,  Amit Agrawal,  Ambrish Tyagi,  James M. Rehg,  Visesh Chari"
47,Divide and Conquer the Embedding Space for Metric Learning,"Artsiom Sanakoyeu,  Vadim Tschernezki,  Uta Buchler,  Bjorn Ommer"
48,Latent Space Autoregression for Novelty Detection,"Davide Abati,  Angelo Porrello,  Simone Calderara,  Rita Cucchiara"
49,Attending to Discriminative Certainty for Domain Adaptation,"Vinod Kumar Kurmi,  Shanu Kumar,  Vinay P. Namboodiri"
50,Feature Denoising for Improving Adversarial Robustness,"Cihang Xie,  Yuxin Wu,  Laurens van der Maaten,  Alan L. Yuille,  Kaiming He"
51,Selective Kernel Networks,"Xiang Li,  Wenhai Wang,  Xiaolin Hu,  Jian Yang"
52,On Implicit Filter Level Sparsity in Convolutional Neural Networks,"Dushyant Mehta,  Kwang In Kim,  Christian Theobalt"
53,FlowNet3D: Learning Scene Flow in 3D Point Clouds,"Xingyu Liu,  Charles R. Qi,  Leonidas J. Guibas"
54,Scene Memory Transformer for Embodied Agents in Long-Horizon Tasks,"Kuan Fang,  Alexander Toshev,  Li Fei-Fei,  Silvio Savarese"
55,Co-Occurrent Features in Semantic Segmentation,"Hang Zhang,  Han Zhang,  Chenguang Wang,  Junyuan Xie"
56,Bag of Tricks for Image Classification with Convolutional Neural Networks,"Tong He,  Zhi Zhang,  Hang Zhang,  Zhongyue Zhang,  Junyuan Xie,  Mu Li"
57,Learning Channel-Wise Interactions for Binary Convolutional Neural Networks,"Ziwei Wang,  Jiwen Lu,  Chenxin Tao,  Jie Zhou,  Qi Tian"
58,Knowledge Adaptation for Efficient Semantic Segmentation,"Tong He,  Chunhua Shen,  Zhi Tian,  Dong Gong,  Changming Sun,  Youliang Yan"
59,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,"Zhezhi He,  Adnan Siraj Rakin,  Deliang Fan"
60,Invariance Matters: Exemplar Memory for Domain Adaptive Person Re-Identification,"Zhun Zhong,  Liang Zheng,  Zhiming Luo,  Shaozi Li,  Yi Yang"
61,Dissecting Person Re-Identification From the Viewpoint of Viewpoint,"Xiaoxiao Sun,  Liang Zheng"
62,Learning to Reduce Dual-Level Discrepancy for Infrared-Visible Person Re-Identification,"Zhixiang Wang,  Zheng Wang,  Yinqiang Zheng,  Yung-Yu Chuang,  Shin'ichi Satoh"
63,Progressive Feature Alignment for Unsupervised Domain Adaptation,"Chaoqi Chen,  Weiping Xie,  Wenbing Huang,  Yu Rong,  Xinghao Ding,  Yue Huang,  Tingyang Xu,  Junzhou Huang"
64,Feature-Level Frankenstein: Eliminating Variations for Discriminative Recognition,"Xiaofeng Liu,  Site Li,  Lingsheng Kong,  Wanqing Xie,  Ping Jia,  Jane You,  B.V.K. Kumar"
65,Learning a Deep ConvNet for Multi-Label Classification With Partial Labels,"Thibaut Durand,  Nazanin Mehrasa,  Greg Mori"
66,Generalized Intersection Over Union: A Metric and a Loss for Bounding Box Regression,"Hamid Rezatofighi,  Nathan Tsoi,  JunYoung Gwak,  Amir Sadeghian,  Ian Reid,  Silvio Savarese"
67,Densely Semantically Aligned Person Re-Identification,"Zhizheng Zhang,  Cuiling Lan,  Wenjun Zeng,  Zhibo Chen"
68,Generalising Fine-Grained Sketch-Based Image Retrieval,"Kaiyue Pang,  Ke Li,  Yongxin Yang,  Honggang Zhang,  Timothy M. Hospedales,  Tao Xiang,  Yi-Zhe Song"
69,Adapting Object Detectors via Selective Cross-Domain Alignment,"Xinge Zhu,  Jiangmiao Pang,  Ceyuan Yang,  Jianping Shi,  Dahua Lin"
70,Cyclic Guidance for Weakly Supervised Joint Detection and Segmentation,"Yunhang Shen,  Rongrong Ji,  Yan Wang,  Yongjian Wu,  Liujuan Cao"
71,Thinking Outside the Pool: Active Training Image Creation for Relative Attributes,"Aron Yu,  Kristen Grauman"
72,Generalizable Person Re-Identification by Domain-Invariant Mapping Network,"Jifei Song,  Yongxin Yang,  Yi-Zhe Song,  Tao Xiang,  Timothy M. Hospedales"
73,Visual Attention Consistency Under Image Transforms for Multi-Label Image Classification,"Hao Guo,  Kang Zheng,  Xiaochuan Fan,  Hongkai Yu,  Song Wang"
74,Re-Ranking via Metric Fusion for Object Retrieval and Person Re-Identification,"Song Bai,  Peng Tang,  Philip H.S. Torr,  Longin Jan Latecki"
75,Unsupervised Open Domain Recognition by Semantic Discrepancy Minimization,"Junbao Zhuo,  Shuhui Wang,  Shuhao Cui,  Qingming Huang"
76,Weakly Supervised Person Re-Identification,"Jingke Meng,  Sheng Wu,  Wei-Shi Zheng"
77,PointRCNN: 3D Object Proposal Generation and Detection From Point Cloud,"Shaoshuai Shi,  Xiaogang Wang,  Hongsheng Li"
78,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,"Aruni RoyChowdhury,  Prithvijit Chakrabarty,  Ashish Singh,  SouYoung Jin,  Huaizu Jiang,  Liangliang Cao,  Erik Learned-Miller"
79,Deep Sketch-Shape Hashing With Segmented 3D Stochastic Viewing,"Jiaxin Chen,  Jie Qin,  Li Liu,  Fan Zhu,  Fumin Shen,  Jin Xie,  Ling Shao"
80,Generative Dual Adversarial Network for Generalized Zero-Shot Learning,"He Huang,  Changhu Wang,  Philip S. Yu,  Chang-Dong Wang"
81,Query-Guided End-To-End Person Search,"Bharti Munjal,  Sikandar Amin,  Federico Tombari,  Fabio Galasso"
82,Libra R-CNN: Towards Balanced Learning for Object Detection,"Jiangmiao Pang,  Kai Chen,  Jianping Shi,  Huajun Feng,  Wanli Ouyang,  Dahua Lin"
83,Learning a Unified Classifier Incrementally via Rebalancing,"Saihui Hou,  Xinyu Pan,  Chen Change Loy,  Zilei Wang,  Dahua Lin"
84,Feature Selective Anchor-Free Module for Single-Shot Object Detection,"Chenchen Zhu,  Yihui He,  Marios Savvides"
85,Bottom-Up Object Detection by Grouping Extreme and Center Points,"Xingyi Zhou,  Jiacheng Zhuo,  Philipp Krahenbuhl"
86,Feature Distillation: DNN-Oriented JPEG Compression Against Adversarial Examples,"Zihao Liu,  Qi Liu,  Tao Liu,  Nuo Xu,  Xue Lin,  Yanzhi Wang,  Wujie Wen"
87,SCOPS: Self-Supervised Co-Part Segmentation,"Wei-Chih Hung,  Varun Jampani,  Sifei Liu,  Pavlo Molchanov,  Ming-Hsuan Yang,  Jan Kautz"
88,Unsupervised Moving Object Detection via Contextual Information Separation,"Yanchao Yang,  Antonio Loquercio,  Davide Scaramuzza,  Stefano Soatto"
89,Pose2Seg: Detection Free Human Instance Segmentation,"Song-Hai Zhang,  Ruilong Li,  Xin Dong,  Paul Rosin,  Zixi Cai,  Xi Han,  Dingcheng Yang,  Haozhi Huang,  Shi-Min Hu"
90,DrivingStereo: A Large-Scale Dataset for Stereo Matching in Autonomous Driving Scenarios,"Guorun Yang,  Xiao Song,  Chaoqin Huang,  Zhidong Deng,  Jianping Shi,  Bolei Zhou"
91,PartNet: A Large-Scale Benchmark for Fine-Grained and Hierarchical Part-Level 3D Object Understanding,"Kaichun Mo,  Shilin Zhu,  Angel X. Chang,  Li Yi,  Subarna Tripathi,  Leonidas J. Guibas,  Hao Su"
92,A Dataset and Benchmark for Large-Scale Multi-Modal Face Anti-Spoofing,"Shifeng Zhang,  Xiaobo Wang,  Ajian Liu,  Chenxu Zhao,  Jun Wan,  Sergio Escalera,  Hailin Shi,  Zezheng Wang,  Stan Z. Li"
93,Unsupervised Learning of Consensus Maximization for 3D Vision Problems,"Thomas Probst,  Danda Pani Paudel,  Ajad Chhatkuli,  Luc Van Gool"
94,VizWiz-Priv: A Dataset for Recognizing the Presence and Purpose of Private Visual Information in Images Taken by Blind People,"Danna Gurari,  Qing Li,  Chi Lin,  Yinan Zhao,  Anhong Guo,  Abigale Stangl,  Jeffrey P. Bigham"
95,Structural Relational Reasoning of Point Clouds,"Yueqi Duan,  Yu Zheng,  Jiwen Lu,  Jie Zhou,  Qi Tian"
96,MVF-Net: Multi-View 3D Face Morphable Model Regression,"Fanzi Wu,  Linchao Bao,  Yajing Chen,  Yonggen Ling,  Yibing Song,  Songnan Li,  King Ngi Ngan,  Wei Liu"
97,Photometric Mesh Optimization for Video-Aligned 3D Object Reconstruction,"Chen-Hsuan Lin,  Oliver Wang,  Bryan C. Russell,  Eli Shechtman,  Vladimir G. Kim,  Matthew Fisher,  Simon Lucey"
98,Guided Stereo Matching,"Matteo Poggi,  Davide Pallotti,  Fabio Tosi,  Stefano Mattoccia"
99,"Unsupervised Event-Based Learning of Optical Flow, Depth, and Egomotion","Alex Zihao Zhu,  Liangzhe Yuan,  Kenneth Chaney,  Kostas Daniilidis"
100,Modeling Local Geometric Structure of 3D Point Clouds Using Geo-CNN,"Shiyi Lan,  Ruichi Yu,  Gang Yu,  Larry S. Davis"
101,3D Point Capsule Networks,"Yongheng Zhao,  Tolga Birdal,  Haowen Deng,  Federico Tombari"
102,GS3D: An Efficient 3D Object Detection Framework for Autonomous Driving,"Buyu Li,  Wanli Ouyang,  Lu Sheng,  Xingyu Zeng,  Xiaogang Wang"
103,Single-Image Piece-Wise Planar 3D Reconstruction via Associative Embedding,"Zehao Yu,  Jia Zheng,  Dongze Lian,  Zihan Zhou,  Shenghua Gao"
104,3DN: 3D Deformation Network,"Weiyue Wang,  Duygu Ceylan,  Radomir Mech,  Ulrich Neumann"
105,HorizonNet: Learning Room Layout With 1D Representation and Pano Stretch Data Augmentation,"Cheng Sun,  Chi-Wei Hsiao,  Min Sun,  Hwann-Tzong Chen"
106,Deep Fitting Degree Scoring Network for Monocular 3D Object Detection,"Lijie Liu,  Jiwen Lu,  Chunjing Xu,  Qi Tian,  Jie Zhou"
107,Pushing the Envelope for RGB-Based Dense 3D Hand Pose Estimation via Neural Rendering,"Seungryul Baek,  Kwang In Kim,  Tae-Kyun Kim"
108,Self-Supervised Learning of 3D Human Pose Using Multi-View Geometry,"Muhammed Kocabas,  Salih Karagoz,  Emre Akbas"
109,FSA-Net: Learning Fine-Grained Structure Aggregation for Head Pose Estimation From a Single Image,"Tsun-Yi Yang,  Yi-Ting Chen,  Yen-Yu Lin,  Yung-Yu Chuang"
110,Dense 3D Face Decoding Over 2500FPS: Joint Texture & Shape Convolutional Mesh Decoders,"Yuxiang Zhou,  Jiankang Deng,  Irene Kotsia,  Stefanos Zafeiriou"
111,Does Learning Specific Features for Related Parts Help Human Pose Estimation?,"Wei Tang,  Ying Wu"
112,Linkage Based Face Clustering via Graph Convolution Network,"Zhongdao Wang,  Liang Zheng,  Yali Li,  Shengjin Wang"
113,Towards High-Fidelity Nonlinear 3D Face Morphable Model,"Luan Tran,  Feng Liu,  Xiaoming Liu"
114,RegularFace: Deep Face Recognition via Exclusive Regularization,"Kai Zhao,  Jingyi Xu,  Ming-Ming Cheng"
115,BridgeNet: A Continuity-Aware Probabilistic Network for Age Estimation,"Wanhua Li,  Jiwen Lu,  Jianjiang Feng,  Chunjing Xu,  Jie Zhou,  Qi Tian"
116,GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction,"Baris Gecer,  Stylianos Ploumpis,  Irene Kotsia,  Stefanos Zafeiriou"
117,Improving the Performance of Unimodal Dynamic Hand-Gesture Recognition With Multimodal Training,"Mahdi Abavisani,  Hamid Reza Vaezi Joze,  Vishal M. Patel"
118,Learning to Reconstruct People in Clothing From a Single RGB Camera,"Thiemo Alldieck,  Marcus Magnor,  Bharat Lal Bhatnagar,  Christian Theobalt,  Gerard Pons-Moll"
119,Distilled Person Re-Identification: Towards a More Scalable System,"Ancong Wu,  Wei-Shi Zheng,  Xiaowei Guo,  Jian-Huang Lai"
120,A Perceptual Prediction Framework for Self Supervised Event Segmentation,"Sathyanarayanan N. Aakur,  Sudeep Sarkar"
121,COIN: A Large-Scale Dataset for Comprehensive Instructional Video Analysis,"Yansong Tang,  Dajun Ding,  Yongming Rao,  Yu Zheng,  Danyang Zhang,  Lili Zhao,  Jiwen Lu,  Jie Zhou"
122,Recurrent Attentive Zooming for Joint Crowd Counting and Precise Localization,"Chenchen Liu,  Xinyu Weng,  Yadong Mu"
123,An Attention Enhanced Graph Convolutional LSTM Network for Skeleton-Based Action Recognition,"Chenyang Si,  Wentao Chen,  Wei Wang,  Liang Wang,  Tieniu Tan"
124,Graph Convolutional Label Noise Cleaner: Train a Plug-And-Play Action Classifier for Anomaly Detection,"Jia-Xing Zhong,  Nannan Li,  Weijie Kong,  Shan Liu,  Thomas H. Li,  Ge Li"
125,MAN: Moment Alignment Network for Natural Language Moment Retrieval via Iterative Graph Adjustment,"Da Zhang,  Xiyang Dai,  Xin Wang,  Yuan-Fang Wang,  Larry S. Davis"
126,Less Is More: Learning Highlight Detection From Video Duration,"Bo Xiong,  Yannis Kalantidis,  Deepti Ghadiyaram,  Kristen Grauman"
127,DMC-Net: Generating Discriminative Motion Cues for Fast Compressed Video Action Recognition,"Zheng Shou,  Xudong Lin,  Yannis Kalantidis,  Laura Sevilla-Lara,  Marcus Rohrbach,  Shih-Fu Chang,  Zhicheng Yan"
128,AdaFrame: Adaptive Frame Selection for Fast Video Recognition,"Zuxuan Wu,  Caiming Xiong,  Chih-Yao Ma,  Richard Socher,  Larry S. Davis"
129,Spatio-Temporal Video Re-Localization by Warp LSTM,"Yang Feng,  Lin Ma,  Wei Liu,  Jiebo Luo"
130,Completeness Modeling and Context Separation for Weakly Supervised Temporal Action Localization,"Daochang Liu,  Tingting Jiang,  Yizhou Wang"
131,Unsupervised Deep Tracking,"Ning Wang,  Yibing Song,  Chao Ma,  Wengang Zhou,  Wei Liu,  Houqiang Li"
132,Tracking by Animation: Unsupervised Learning of Multi-Object Attentive Trackers,"Zhen He,  Jian Li,  Daxue Liu,  Hangen He,  David Barber"
133,Fast Online Object Tracking and Segmentation: A Unifying Approach,"Qiang Wang,  Li Zhang,  Luca Bertinetto,  Weiming Hu,  Philip H.S. Torr"
134,Object Tracking by Reconstruction With View-Specific Discriminative Correlation Filters,"Ugur Kart,  Alan Lukezic,  Matej Kristan,  Joni-Kristian Kamarainen,  Jiri Matas"
135,SoPhie: An Attentive GAN for Predicting Paths Compliant to Social and Physical Constraints,"Amir Sadeghian,  Vineet Kosaraju,  Ali Sadeghian,  Noriaki Hirose,  Hamid Rezatofighi,  Silvio Savarese"
136,Leveraging Shape Completion for 3D Siamese Tracking,"Silvio Giancola,  Jesus Zarzar,  Bernard Ghanem"
137,Target-Aware Deep Tracking,"Xin Li,  Chao Ma,  Baoyuan Wu,  Zhenyu He,  Ming-Hsuan Yang"
138,Spatiotemporal CNN for Video Object Segmentation,"Kai Xu,  Longyin Wen,  Guorong Li,  Liefeng Bo,  Qingming Huang"
139,Towards Rich Feature Discovery With Class Activation Maps Augmentation for Person Re-Identification,"Wenjie Yang,  Houjing Huang,  Zhang Zhang,  Xiaotang Chen,  Kaiqi Huang,  Shu Zhang"
140,Wide-Context Semantic Image Extrapolation,"Yi Wang,  Xin Tao,  Xiaoyong Shen,  Jiaya Jia"
141,End-To-End Time-Lapse Video Synthesis From a Single Outdoor Image,"Seonghyeon Nam,  Chongyang Ma,  Menglei Chai,  William Brendel,  Ning Xu,  Seon Joo Kim"
142,GIF2Video: Color Dequantization and Temporal Interpolation of GIF Images,"Yang Wang,  Haibin Huang,  Chuan Wang,  Tong He,  Jue Wang,  Minh Hoai"
143,Mode Seeking Generative Adversarial Networks for Diverse Image Synthesis,"Qi Mao,  Hsin-Ying Lee,  Hung-Yu Tseng,  Siwei Ma,  Ming-Hsuan Yang"
144,Pluralistic Image Completion,"Chuanxia Zheng,  Tat-Jen Cham,  Jianfei Cai"
145,Salient Object Detection With Pyramid Attention and Salient Edges,"Wenguan Wang,  Shuyang Zhao,  Jianbing Shen,  Steven C. H. Hoi,  Ali Borji"
146,Latent Filter Scaling for Multimodal Unsupervised Image-To-Image Translation,"Yazeed Alharbi,  Neil Smith,  Peter Wonka"
147,Attention-Aware Multi-Stroke Style Transfer,"Yuan Yao,  Jianqiang Ren,  Xuansong Xie,  Weidong Liu,  Yong-Jin Liu,  Jun Wang"
148,Feedback Adversarial Learning: Spatial Feedback for Improving Generative Adversarial Networks,"Minyoung Huh,  Shao-Hua Sun,  Ning Zhang"
